label	or	lower	upper	midp.exact	fisher.exact	chi.square	fisher.exact.bh	level
Tissue invariant	3.32725330541267	2.91353220444029	3.80172640129126	0	7.13323866182846e-69	1.82291523005678e-77	1.14131818589255e-67	normal
Primitive / embryonic	1.26791221268244	1.14436363643988	1.40330053384979	6.68333302566992e-06	6.60329043846399e-06	5.55193513033206e-06	2.11305294030848e-05	normal
Musculoskeletal	1.0281065678588	0.837145968973918	1.25484411592445	0.788818283792444	0.795429623456444	0.834436182071827	0.848458265020206	normal
Placental / trophoblast	1.11330833052601	0.954994304419233	1.29388605637444	0.168789052548257	0.166106033437518	0.179404449794156	0.204438195000022	normal
Digestive	1.00556906363078	0.811750514513006	1.23717065380644	0.958961844731911	0.957191903920126	0.999999999999996	0.957191903920126	normal
Neural	1.161692284945	0.983223239792991	1.36772556178142	0.0779128679096166	0.0823997065791302	0.082882711199448	0.131839530526608	normal
Myeloid / erythroid	1.50948926556946	1.27634970667483	1.78050252501844	2.088249826393e-06	2.2504832203935e-06	1.32869827727081e-06	1.2002577175432e-05	normal
Lymphoid	1.44218102570627	1.27030832712068	1.63470581746808	2.38070372304833e-08	2.47781314884939e-08	1.31912345345867e-08	1.98225051907951e-07	normal
Cancer / epithelial	1.33596636448459	1.09061950253523	1.62895882826272	0.00539754994568398	0.00566867997964332	0.00537578200262835	0.0129569828106133	normal
Stromal B	1.10915431709949	0.967094026577025	1.26900815355782	0.13763875255918	0.1372859147863	0.145364986472181	0.199688603325527	normal
Organ devel. / renal	1.41429815340315	1.15340093876561	1.72672619614289	0.000958467899267346	0.000949696962730239	0.000874552745482765	0.0025325252339473	normal
Renal / cancer	1.16400565751924	0.912185375370868	1.47376720488066	0.21892842757339	0.230343182197683	0.240658826942038	0.263249351083066	normal
Stromal A	2.16843345761001	1.57031638036308	2.98066284704343	3.98013985680734e-06	3.55527984398356e-06	1.81277115646377e-06	1.42211193759342e-05	normal
Cardiac	1.29255276886538	1.00546175277347	1.64937601934073	0.0453148357718312	0.0460927741452186	0.0490284943658281	0.0819427095914997	normal
Vascular / endothelial	1.21912986270838	0.92176124081513	1.59663883143908	0.162401281944348	0.165878678710524	0.180951306164398	0.204438195000022	normal
Pulmonary devel.	1.61430334865484	1.11873594225386	2.30204178620205	0.0110012036527514	0.011843732458664	0.0114089850266518	0.023687464917328	normal
Tissue invariant	10.9033812407406	9.19650664322612	12.8931102625623	0	3.82816586387249e-125	1.39679517648287e-250	6.12506538219599e-124	high
Primitive / embryonic	1.70999640170055	1.36154343192635	2.12396885362742	8.37979096712793e-06	9.10724722141111e-06	2.4760010602874e-06	3.04356712429117e-05	high
Musculoskeletal	1.47120342980952	0.914197746298496	2.23578506080204	0.107296390999274	0.105932848058991	0.12171406325829	0.141243797411988	high
Placental / trophoblast	1.27589849970403	0.870867410232901	1.80152218089366	0.202536930378769	0.184417932755197	0.232125816804499	0.226975917237166	high
Digestive	0.817535934360438	0.419099334590156	1.42175703942361	0.500246489776028	0.577026644792462	0.573774377228651	0.605574832492187	high
Neural	1.50704155453315	1.02116543166459	2.14127645735122	0.0394372775678218	0.0428290872612585	0.0395836990321694	0.0761405995755707	high
Myeloid / erythroid	2.27867478713635	1.62002841695774	3.11828862128946	8.46830502609919e-06	9.51114726340992e-06	7.57555971332572e-07	3.04356712429117e-05	high
Lymphoid	2.23190046392903	1.72480465327327	2.84618431676333	1.01961403764506e-08	8.7612816276128e-09	2.0467037937517e-10	4.67268353472683e-08	high
Cancer / epithelial	1.37927467910958	0.823748334603101	2.15888660862179	0.208933044322561	0.204741999190946	0.250765171829624	0.233990856218224	high
Stromal B	1.8233126681	1.36616256878526	2.38658115763561	8.73573070507838e-05	8.93252732243693e-05	2.84784310741812e-05	0.000238200728598318	high
Organ devel. / renal	2.17827976648741	1.42980616060639	3.17882457132009	0.000541723582406117	0.000527530842472787	0.000165951338830936	0.00120578478279494	high
Renal / cancer	1.79702624957321	1.05366044412801	2.85558821821927	0.0326424600298618	0.0317875648465762	0.0310085983228435	0.0635751296931524	high
Stromal A	5.47392662703585	3.3695457407896	8.47734380452884	2.13614659294592e-09	1.81962692039988e-09	2.77812395380774e-15	1.4557015363199e-08	high
Cardiac	1.16012508814425	0.572105415027412	2.07464968873367	0.655027398811721	0.605574832492187	0.811511719211447	0.605574832492187	high
Vascular / endothelial	1.84908094481765	0.997773839321261	3.12045048208394	0.0507625071072821	0.0551223964543162	0.0525345676672392	0.0870843973652691	high
Pulmonary devel.	2.19785802314674	0.978167184052774	4.2338625610298	0.0558491922648767	0.0598705231886225	0.059238529814432	0.0870843973652691	high
