file	gene	hit	count	trait
Astle_et_al_2016_Eosinophil_counts	BTN3A2	4	1	Eosinophil Count
Astle_et_al_2016_Eosinophil_counts	WDR6	3	1	Eosinophil Count
Astle_et_al_2016_Granulocyte_count	BTN3A2	4	1	Granuloctye Count
Astle_et_al_2016_Granulocyte_count	ORMDL3	1	1	Granuloctye Count
Astle_et_al_2016_Granulocyte_count	TTC19	7	1	Granuloctye Count
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ANKRD25	2	1	HLS Reticulocyte Count
Astle_et_al_2016_High_light_scatter_reticulocyte_count	PFN4	1	1	HLS Reticulocyte Count
Astle_et_al_2016_Lymphocyte_counts	BTN3A2	4	1	Lymphocyte Count
Astle_et_al_2016_Lymphocyte_counts	ORMDL3	1	1	Lymphocyte Count
Astle_et_al_2016_Lymphocyte_counts	PFN4	1	1	Lymphocyte Count
Astle_et_al_2016_Lymphocyte_counts	TLR6	1	1	Lymphocyte Count
Astle_et_al_2016_Lymphocyte_counts	ZC2HC1A	1	1	Lymphocyte Count
Astle_et_al_2016_Monocyte_count	BTN3A2	4	1	Monocyte Count
Astle_et_al_2016_Monocyte_count	SCP2	2	1	Monocyte Count
Astle_et_al_2016_Monocyte_count	TRIP4	5	1	Monocyte Count
Astle_et_al_2016_Myeloid_white_cell_count	BTN3A2	4	1	Myeloid White Cell Count
Astle_et_al_2016_Myeloid_white_cell_count	ORMDL3	1	1	Myeloid White Cell Count
Astle_et_al_2016_Myeloid_white_cell_count	TTC19	7	1	Myeloid White Cell Count
Astle_et_al_2016_Neutrophil_count	AHI1	3	1	Neutrophil Count
Astle_et_al_2016_Neutrophil_count	BTN3A2	4	1	Neutrophil Count
Astle_et_al_2016_Neutrophil_count	NDUFAF1	8	1	Neutrophil Count
Astle_et_al_2016_Neutrophil_count	ORMDL3	1	1	Neutrophil Count
Astle_et_al_2016_Neutrophil_count	SLC35A1	7	1	Neutrophil Count
Astle_et_al_2016_Neutrophil_count	TTC19	7	1	Neutrophil Count
Astle_et_al_2016_Platelet_count	GNA12	5	1	Platelet Count
Astle_et_al_2016_Platelet_count	HABP4	4	1	Platelet Count
Astle_et_al_2016_Platelet_count	PACSIN2	13	1	Platelet Count
Astle_et_al_2016_Platelet_count	PET112L	4	1	Platelet Count
Astle_et_al_2016_Platelet_count	SPAG7	1	1	Platelet Count
Astle_et_al_2016_Platelet_count	ST7L	2	1	Platelet Count
Astle_et_al_2016_Red_blood_cell_count	PFN4	1	1	Red Blood Cell Count
Astle_et_al_2016_Red_blood_cell_count	SMIM19	2	1	Red Blood Cell Count
Astle_et_al_2016_Reticulocyte_count	ANKRD25	2	1	Reticulocyte Count
Astle_et_al_2016_Reticulocyte_count	BTN3A2	4	1	Reticulocyte Count
Astle_et_al_2016_Reticulocyte_count	PFN4	1	1	Reticulocyte Count
Astle_et_al_2016_Sum_basophil_neutrophil_counts	BTN3A2	4	1	Basophil+Neutrophil Count
Astle_et_al_2016_Sum_basophil_neutrophil_counts	NDUFAF1	8	1	Basophil+Neutrophil Count
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ORMDL3	1	1	Basophil+Neutrophil Count
Astle_et_al_2016_Sum_basophil_neutrophil_counts	TTC19	7	1	Basophil+Neutrophil Count
Astle_et_al_2016_Sum_eosinophil_basophil_counts	BTN3A2	4	1	Basophil+Eosinophil Count
Astle_et_al_2016_Sum_eosinophil_basophil_counts	WDR6	3	1	Basophil+Eosinophil Count
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	BTN3A2	4	1	Neutrophil+Eosinophil Count
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ORMDL3	1	1	Neutrophil+Eosinophil Count
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	TTC19	7	1	Neutrophil+Eosinophil Count
Astle_et_al_2016_White_blood_cell_count	BTN3A2	4	1	White Blood Cell Count
Astle_et_al_2016_White_blood_cell_count	ORMDL3	1	1	White Blood Cell Count
Astle_et_al_2016_White_blood_cell_count	PET112L	4	1	White Blood Cell Count
Astle_et_al_2016_White_blood_cell_count	PFN4	1	1	White Blood Cell Count
Astle_et_al_2016_White_blood_cell_count	TTC19	7	1	White Blood Cell Count
CKDGen_Chronic_Kidney_Disease	SPATA5L1	6	1	Chronic Kidney Disease
EGG_BW3_EUR	PFN4	1	1	Birth Weight
EGG_Pubertal_growth_12M	GNA12	5	1	Pubertal Growth
GABRIEL_Asthma	ORMDL3	1	1	Asthma (GABRIEL)
GIANT_HEIGHT	ANAPC13	9	1	Height (GIANT)
GIANT_HEIGHT	CCDC126	6	1	Height (GIANT)
GIANT_HEIGHT	CEP63	7	1	Height (GIANT)
GIANT_HEIGHT	CPNE1	5	1	Height (GIANT)
GIANT_HEIGHT	GNA12	5	1	Height (GIANT)
GIANT_HEIGHT	HABP4	4	1	Height (GIANT)
GIANT_HEIGHT	MUSTN1	1	1	Height (GIANT)
GIANT_HEIGHT	USP36	3	1	Height (GIANT)
GIANT_HIP_Combined_EUR	GNA12	5	1	Waist (GIANT)
GLGC_Mc_HDL	ORMDL3	1	1	HDL
IBD.EUR.Crohns_Disease	ERAP2	13	1	Crohns Disease
IBD.EUR.Crohns_Disease	ORMDL3	1	1	Crohns Disease
IBD.EUR.Inflammatory_Bowel_Disease	ERAP2	13	1	Inflammatory Bowel Disease
IBD.EUR.Inflammatory_Bowel_Disease	ORMDL3	1	1	Inflammatory Bowel Disease
IBD.EUR.Ulcerative_Colitis	ORMDL3	1	1	Ulcerative Colitis
IMMUNOBASE_Multiple_sclerosis_hg19	AHI1	3	1	Multiple Sclerosis
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	BTN3A2	4	1	Systemic Lupus Erythematosus
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	C8orf13	2	1	Systemic Lupus Erythematosus
RA_OKADA_TRANS_ETHNIC	C8orf13	2	1	Rheumatoid Arthritis
RA_OKADA_TRANS_ETHNIC	ORMDL3	1	1	Rheumatoid Arthritis
TAGC_Asthma_EUR	ORMDL3	1	1	Asthma (TAGC)
UKB_20002_1111_self_reported_asthma	AHI1	3	1	Asthma, Self-Reported (UKB)
UKB_20002_1111_self_reported_asthma	ORMDL3	1	1	Asthma, Self-Reported (UKB)
UKB_20002_1111_self_reported_asthma	TLR6	1	1	Asthma, Self-Reported (UKB)
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	BTN3A2	4	1	Hyperthyroidism/Thyrotoxicosis, Self-Reported (UKB)
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	AHI1	3	1	Hypothyroidism/Myxoedema, Self-Reported (UKB)
UKB_20016_Fluid_intelligence_score	BTN3A2	4	1	Fluid Intelligence Score (UKB)
UKB_20022_Birth_weight	GNA12	5	1	Birth Weight (UKB)
UKB_20022_Birth_weight	USMG5	1	1	Birth Weight (UKB)
UKB_20127_Neuroticism_score	C8orf13	2	1	Neuroticism (UKB)
UKB_21001_Body_mass_index_BMI	HSD17B12	3	1	Body Mass Index (UKB)
UKB_23099_Body_fat_percentage	GNA12	5	1	Body Fat Percentage (UKB)
UKB_23099_Body_fat_percentage	HSD17B12	3	1	Body Fat Percentage (UKB)
UKB_23099_Body_fat_percentage	PYGB	5	1	Body Fat Percentage (UKB)
UKB_23099_Body_fat_percentage	SIRT4	7	1	Body Fat Percentage (UKB)
UKB_50_Standing_height	ANAPC13	9	1	Height (UKB)
UKB_50_Standing_height	C9orf43	7	1	Height (UKB)
UKB_50_Standing_height	CCDC126	6	1	Height (UKB)
UKB_50_Standing_height	CEP63	7	1	Height (UKB)
UKB_50_Standing_height	CHCHD2	3	1	Height (UKB)
UKB_50_Standing_height	CPNE1	5	1	Height (UKB)
UKB_50_Standing_height	GNA12	5	1	Height (UKB)
UKB_50_Standing_height	HABP4	4	1	Height (UKB)
UKB_50_Standing_height	MAN2C1	4	1	Height (UKB)
UKB_50_Standing_height	NDUFAF1	8	1	Height (UKB)
UKB_50_Standing_height	PACSIN2	13	1	Height (UKB)
UKB_50_Standing_height	PARBP	3	1	Height (UKB)
UKB_50_Standing_height	PET112L	4	1	Height (UKB)
