label	or	lower	upper	midp.exact	fisher.exact	chi.square	fisher.exact.bh	level	type
ARID3A	2.06314724967488	1.87759837918515	2.26615086015881	0	3.09609336465697e-49	4.41758613859444e-53	1.50113617680338e-48	normal	tf
ASH2L	2.05401570123253	1.87897749887337	2.24454067531953	0	2.35163359035502e-54	1.96933493358602e-58	5.11593656296258e-53	normal	tf
ATF3	2.20298217683302	1.81217448547354	2.67410131076021	8.88178419700125e-15	1.05970332993969e-14	5.10752706529809e-16	1.52750029540856e-14	normal	tf
ATF7	1.93520692039513	1.77633182643489	2.10757641089987	0	1.45204617822255e-49	5.02959429140813e-53	7.7442462838536e-49	normal	tf
BACH1	1.91667921209142	1.74531239056834	2.10391514225501	0	1.3484463962211e-40	1.96560236299505e-43	3.99539672954399e-40	normal	tf
BATF	1.99084834062308	1.82126027834069	2.17553198970093	0	6.71110230958474e-50	1.59329309914971e-53	3.83491560547699e-49	normal	tf
BCL11A	1.89958281138215	1.7343897458581	2.07961169631139	0	8.55648678389259e-42	1.16471886337698e-44	2.63276516427464e-41	normal	tf
BCL3	1.8116839739036	1.6179087226367	2.02701143553283	0	6.66677367153536e-24	1.69696554291134e-25	1.12282503941648e-23	normal	tf
BCLAF1	1.8539660049748	1.71369886692044	2.00513595591922	0	1.85892154808607e-51	1.22103839944633e-54	1.29316281605988e-50	normal	tf
BHLHE40	1.94725852039817	1.79246756846176	2.11463378362522	0	7.43153949624565e-54	1.29351672487733e-57	1.19614510610499e-52	normal	tf
CBFB	1.9949834717723	1.81717051481788	2.18925551342739	0	1.05266541147075e-45	3.45751389471998e-49	3.91689455430975e-45	normal	tf
CHD2	2.34679440564808	2.05359773985835	2.68053823667177	0	1.95509996566634e-34	7.21900271897601e-38	4.06254538320278e-34	normal	tf
CREB1	2.09502618552043	1.91610933608463	2.28996600043172	0	4.95221364984726e-57	2.00975454932494e-61	3.96177091987781e-55	normal	tf
CREM	2.00037164563585	1.83139584260818	2.18419596411782	0	1.82035636590068e-51	3.40141040595655e-55	1.29316281605988e-50	normal	tf
DPF2	1.91083357134477	1.75112299247077	2.08425372775458	0	4.80126024394153e-46	3.09246422204969e-49	1.87366253422109e-45	normal	tf
E2F8	1.89708592733524	1.71852249153856	2.09312909970315	0	1.74510845869084e-35	5.68597498439626e-38	4.04662831000775e-35	normal	tf
E4F1	2.20272493556385	1.95757127599374	2.47729065751376	0	1.3057850701494e-37	4.80140207269025e-41	3.36976792296619e-37	normal	tf
EBF1	1.90450831981003	1.75140303419708	2.07025301824239	0	2.30710022545162e-49	1.13579357469745e-52	1.15355011272581e-48	normal	tf
EED	1.9215266305039	1.76966852718619	2.08567557054338	0	1.87021423835044e-52	5.29164808213986e-56	1.57491725334774e-51	normal	tf
EGR1	2.19473232960522	1.97738558353246	2.43499843019348	0	2.19246148257468e-47	1.72159842151556e-51	9.48091451924186e-47	normal	tf
ELF1	1.90742372555929	1.75603406556121	2.07113830683821	0	6.91630503729624e-51	2.74805969990421e-54	4.42643522386959e-50	normal	tf
ETS1	2.20880487299331	1.95557521135997	2.49346887995305	0	1.04500971973281e-35	6.33674606622253e-39	2.45884639937133e-35	normal	tf
ETV6	1.86099784874219	1.66448072260508	2.07915403582562	0	1.47280911177337e-26	1.78512453896595e-28	2.64774671779483e-26	normal	tf
FOXK2	2.17001172108495	1.77446598203983	2.64936493138209	1.56985535681997e-13	1.66048558544729e-13	1.25223511989675e-14	2.31024081453536e-13	normal	tf
GABPA	2.26211854270036	2.00042272784254	2.5569460792925	0	4.01104399908681e-37	1.53164298952452e-40	1.0027609997717e-36	normal	tf
GATAD2B	1.96994550138176	1.79984268793639	2.1553286787284	0	3.7004818391748e-47	1.60700145663125e-50	1.51814639555889e-46	normal	tf
GTF2F1	2.11778621745597	1.91718390936381	2.33844334533376	0	2.07188966429276e-47	2.50587018123375e-51	9.20839850796783e-47	normal	tf
HCFC1	2.11330586008541	1.92698270887107	2.31677171337158	0	1.37462785658623e-54	5.7096260715688e-59	3.90044602357965e-53	normal	tf
HDAC2	2.22440467351105	1.93687175945991	2.55296111058726	0	1.60911982858606e-28	4.58909853064271e-31	2.99371130899732e-28	normal	tf
HDAC6	2.11192710251633	1.86657778317628	2.38791002328246	0	3.74197792507149e-31	9.00649900968409e-34	7.30142034160291e-31	normal	tf
HDGF	1.78163878260292	1.64743495617334	1.92605942584314	0	9.42419515269458e-46	2.31092985418089e-48	3.59016958197889e-45	normal	tf
HSF1	2.33159675345174	2.03241330238554	2.67347815171779	0	3.980591959428e-32	2.50806257553997e-35	8.06195839884152e-32	normal	tf
IKZF1	1.88536168389457	1.74322043006751	2.03863150626835	0	1.46266725884237e-54	4.83769790470203e-58	3.90044602357965e-53	normal	tf
IKZF2	1.84424972541869	1.68620536822035	2.01618347872013	0	2.12836530917163e-39	6.1723659722094e-42	5.67564082445768e-39	normal	tf
IRF4	1.99490948619233	1.82519284400732	2.17960900803471	0	2.97498656850003e-50	5.27074945608279e-54	1.81173769101764e-49	normal	tf
KLF5	2.23915332090465	1.99230693979089	2.51553954196027	0	5.41132910876675e-40	1.34598825785786e-43	1.51896957439067e-39	normal	tf
MAX	2.45078453971019	2.08464782481615	2.87959068149062	0	2.61049013770101e-26	5.04413300293841e-29	4.5898727695842e-26	normal	tf
MAZ	2.28346538723832	1.9778924831812	2.63447157853095	0	3.71466850824274e-28	7.26262672463664e-31	6.75394274225953e-28	normal	tf
MED1	1.95111260815238	1.78627140986309	2.13041837071181	0	6.40351329864776e-48	2.71466049879159e-51	3.01341802289307e-47	normal	tf
MEF2A	1.94591053559561	1.74082451604771	2.17373632004895	0	2.2547499231677e-30	1.04725187285764e-32	4.29476175841466e-30	normal	tf
MEF2B	1.97560860788672	1.78069472016833	2.1906812019751	0	2.68864902543529e-36	5.26353019149484e-39	6.42065438909921e-36	normal	tf
MEF2C	2.06545203769544	1.73819862292672	2.45089540316789	8.88178419700125e-16	7.79319552317007e-16	4.27097079539453e-17	1.14395530615341e-15	normal	tf
MLLT1	1.8227088324732	1.68161413637505	1.9750109987591	0	1.41440451715108e-46	2.03534525237213e-49	5.65761806860434e-46	normal	tf
MTA2	1.87526387776335	1.70045417923839	2.06691369739579	0	5.62078770350578e-35	2.28734196496404e-37	1.21530544940665e-34	normal	tf
