hg38_chrom	hg38_pos	hg19_chrom	hg19_pos
chr11	73754884	chr11	73465929
chr11	73755178	chr11	73466223
chr11	73757213	chr11	73468258
chr11	73770108	chr11	73481153
chr11	73773672	chr11	73484717
chr11	73776673	chr11	73487718
chr11	73782777	chr11	73493822
chr11	73784561	chr11	73495606
chr11	73785245	chr11	73496290
chr11	73790674	chr11	73501719
chr1	42584232	chr1	43049903
chr11	73801738	chr11	73512783
chr11	73816162	chr11	73527207
chr11	74018724	chr11	73729769
chr11	74313195	chr11	74024240
chr11	74313398	chr11	74024443
chr11	74313775	chr11	74024820
chr11	74317899	chr11	74028944
chr11	74319100	chr11	74030145
chr11	74320643	chr11	74031688
chr1	42590398	chr1	43056069
chr11	74326985	chr11	74038030
chr11	74333931	chr11	74044976
chr11	74337428	chr11	74048473
chr11	74344253	chr11	74055298
chr11	74350617	chr11	74061662
chr11	74357767	chr11	74068812
chr11	74361772	chr11	74072817
chr11	74364393	chr11	74075438
chr11	74369319	chr11	74080364
chr1	42592475	chr1	43058146
chr11	74377282	chr11	74088327
chr11	74379651	chr11	74090696
chr11	74379817	chr11	74090862
chr11	74381574	chr11	74092619
chr11	74382223	chr11	74093268
chr11	74442648	chr11	74153693
chr12	55472	chr12	164638
chr12	104832	chr12	213998
chr12	106049	chr12	215215
chr1	42596757	chr1	43062428
chr12	108316	chr12	217482
chr12	9430769	chr12	9583365
chr12	9451937	chr12	9604533
chr12	48392060	chr12	48785843
chr12	48416946	chr12	48810729
chr12	52791708	chr12	53185492
chr1	42599312	chr1	43064983
chr12	52794425	chr12	53188209
chr12	66253407	chr12	66647187
chr12	68685014	chr12	69078794
chr12	68688816	chr12	69082596
chr12	68690990	chr12	69084770
chr12	68692441	chr12	69086221
chr12	68692574	chr12	69086354
chr12	68699409	chr12	69093189
chr12	68704419	chr12	69098199
chr1	42599436	chr1	43065107
chr12	68711184	chr12	69104964
chr12	68730453	chr12	69124233
chr12	68734357	chr12	69128137
chr12	68738135	chr12	69131915
chr12	68744198	chr12	69137978
chr12	68747898	chr12	69141678
chr12	69282397	chr12	69676177
chr12	69321033	chr12	69714813
chr1	42600884	chr1	43066555
chr12	69384992	chr12	69778772
chr12	94899703	chr12	95293479
chr12	94901078	chr12	95294854
chr12	94901859	chr12	95295635
chr12	94922541	chr12	95316317
chr12	94985715	chr12	95379491
chr12	94999512	chr12	95393288
chr12	95095752	chr12	95489528
chr1	42601028	chr1	43066699
chr12	101636335	chr12	102030113
chr12	101649207	chr12	102042985
chr12	101649571	chr12	102043349
chr12	101649571	chr12	102043349
chr12	101649628	chr12	102043406
chr12	101649628	chr12	102043406
chr12	101649628	chr12	102043406
chr12	101649628	chr12	102043406
chr12	101649673	chr12	102043451
chr12	101649673	chr12	102043451
chr12	101650005	chr12	102043783
chr12	101650093	chr12	102043871
chr12	101651520	chr12	102045298
chr12	101651966	chr12	102045744
chr1	42609283	chr1	43074954
chr12	101652077	chr12	102045855
chr12	101652249	chr12	102046027
chr12	101652249	chr12	102046027
chr12	101652256	chr12	102046034
chr12	101652256	chr12	102046034
chr12	101653096	chr12	102046874
chr12	101653694	chr12	102047472
chr12	101653814	chr12	102047592
chr12	101654125	chr12	102047903
chr12	101655115	chr12	102048893
chr12	101655309	chr12	102049087
chr12	101655547	chr12	102049325
chr1	42614143	chr1	43079814
chr1	7750863	chr1	7810923
chr12	101656343	chr12	102050121
chr12	101656494	chr12	102050272
chr12	101656854	chr12	102050632
chr12	101658001	chr12	102051779
chr12	101658001	chr12	102051779
chr12	101658028	chr12	102051806
chr12	101658028	chr12	102051806
chr12	101659088	chr12	102052866
chr12	101659897	chr12	102053675
chr12	101659975	chr12	102053753
chr12	101659975	chr12	102053753
chr1	42615924	chr1	43081595
chr12	101659977	chr12	102053755
chr12	101659977	chr12	102053755
